symbol,name,cmc_rank,price,market_cap,volume_24h,percent_change_30d,circulating_supply,max_supply
ONT,Ontology,87,1.13,"971,990,761.96","228,985,174.00",-43.57,"863,432,987","1,000,000,000"
BAKE,BakeryToken,88,3.96,"969,551,205.42","114,350,923.86",-36.76,"244,953,106","277,237,400"
CRV,Curve DAO Token,89,2.66,"937,915,874.73","415,428,805.85",-13.77,"352,035,339","3,303,030,299"
ZRX,0x,90,1.11,"936,418,951.06","99,361,022.64",-40.42,"841,921,228","1,000,000,000"
BNT,Bancor,91,4.60,"928,657,403.54","66,404,191.14",-38.80,"201,984,664",
FTM,Fantom,92,0.34,"866,201,997.43","96,248,905.58",-57.68,"2,545,006,273","3,175,000,000"
OMG,OMG Network,93,6.17,"864,861,649.25","396,238,084.37",-38.23,"140,245,398","140,245,399"
SC,Siacoin,94,0.02,"842,373,772.57","66,353,246.26",-57.69,"47,881,642,992",
CELO,Celo,95,3.33,"818,091,275.21","21,303,434.28",-36.36,"245,729,966","1,000,000,000"
CHSB,SwissBorg,96,0.81,"811,575,638.08","4,630,817.85",-42.63,"1,000,000,000",
HUSD,HUSD,97,1.00,"794,204,953.00","1,204,155,917.55",0.18,"793,765,883",
ICX,ICON,98,1.16,"731,802,826.32","46,414,876.91",-50.67,"628,183,865",
RVN,Ravencoin,99,0.08,"719,106,958.56","68,262,107.73",-53.41,"8,919,320,000","21,000,000,000"
ANKR,Ankr,100,0.10,"714,848,249.01","47,345,159.17",-37.67,"6,996,232,711","10,000,000,000"
